bdate,bamount,bincreased
2016-03-01,5201257,5201257
2016-04-01,6235739,1034482
2016-05-01,6192934,-42805
2016-06-01,6426189,233255
2016-07-01,7213944,787755
2016-08-01,7727719,513775
2016-09-01,8074303,346584
2016-10-01,7819153,-255150
2016-11-01,7847355,28202
2016-12-01,8023267,175912
2017-01-01,8234562,211295
2017-02-01,8206746,-27816
2017-03-01,6995393,-1211353
2017-04-01,7024540,29147
2017-05-01,7321858,297318
2017-06-01,7262453,-59405
2017-07-01,7309129,46676
2017-08-01,7430308,121179
2017-09-01,7001384,-428924
2017-10-01,7654338,652954
2017-11-01,12283597,4629259
2017-12-01,9303047,-2980550
2018-01-01,14782521,5479474
2018-02-01,13697693,-1084828
2018-03-01,8946908,-4750785
2018-04-01,9118761,171853
2018-05-01,15200139,6081378
2018-06-01,13962623,-1237516
2018-07-01,13954498,-8125
2018-08-01,14561027,606529
2018-09-01,14045998,-515029
2018-10-01,11667216,-2378782
2018-11-01,13718555,2051339
2018-12-01,13776452,57897
2019-01-01,15450450,1673998
2019-02-01,15234575,-215875
2019-03-01,15645805,411230
2019-04-01,16671008,1025203
2019-05-01,15869192,-801816
2019-06-01,16481377,612185
2019-07-01,15652189,-829188
2019-08-01,15683564,31375
2019-09-01,16894121,1210557
2019-10-01,16827002,-67119
2019-11-01,16974098,147096
2019-12-01,17617517,643419
2020-01-01,17132669,-484848
2020-02-01,16603646,-529023
2020-03-01,13994066,-2609580
2020-04-01,16915448,2921382
2020-05-01,18595173,1679725
2020-06-01,18354292,-240881
2020-07-01,20906430,2552138
2020-08-01,22211318,1304888
2020-09-01,23012405,801087
2020-10-01,22688324,-324081
2020-11-01,26048947,3360623
2020-12-01,27151992,1103045
2021-01-01,27842702,690710
2021-02-01,29050912,868798
2021-03-01,31000000,1000000
2021-04-01,31560000,560000
